,id,name,lat,lon,fequency
329,1412,Vansittart Cr after 1st Ragless Cct,-35.400089,149.06246399999998,411
330,1413,Learmonth Dr after Athllon Dr,-35.403181,149.063357,411
331,1414,Learmonth Dr before Athllon Dr,-35.403084,149.06351999999998,414
332,1415,Vansittart Cr opp Pinkerton Cct,-35.397225,149.064054,411
333,1416,Vansittart Cr before Pinkerton Cct,-35.397462,149.064247,414
334,1417,Tuggeranong Pkwy after Sulwood Dr,-35.373045,149.056882,507
335,1418,Tuggeranong Pkwy before Sulwood Dr,-35.372603999999995,149.057409,275
336,1435,Clive Steele Av before 2nd Priddle St,-35.410718,149.100686,441
337,1436,Clive Steele Av opp 1st Priddle St,-35.410892,149.100719,440
338,1437,Clive Steele Av opp 2nd Brain St,-35.41236,149.100027,441
339,1438,Clive Steele Av before 2nd Brain St,-35.412884999999996,149.099366,440
340,1439,Clive Steele Av before 2nd Fraenkel St,-35.414112,149.09704299999999,441
341,1440,Clive Steele Av before 2nd Coode St,-35.414441,149.09673999999998,440
342,1441,Monash Shops Cockcroft Av,-35.417059,149.098237,309
343,1442,Cockcroft Av opp Monash Shops,-35.416742,149.098198,305
344,1443,Cockcroft Av before Kneeshaw St,-35.419885,149.097304,309
345,1444,Goodwin Aged Care Cockcroft Av,-35.419751,149.09704299999999,305
346,1445,Charleston St after 2nd William Hudson Cr,-35.416281,149.079178,757
347,1446,Charleston St after Blakey Cl,-35.416263,149.07936,731
348,1447,Charleston St before 1st William Hudson Cr,-35.418192,149.082438,757
349,1448,Charleston St after Hallstrom Cct,-35.41809,149.082409,731
350,1449,Clive Steele Av before 1st Balsillie Cr,-35.416677,149.086218,440
351,1450,Clive Steele Av opp 2nd Balsillie Cr,-35.41661,149.086533,448
352,1451,Clive Steele Av before 2nd Balsillie Cr,-35.416239000000004,149.088005,440
353,1452,Clive Steele Av before Harkness St,-35.416298,149.088358,448
354,1453,Monash PS Corlette Cr,-35.41534,149.08956899999998,447
355,1454,Corlette Cr after Hebblewhite St,-35.414164,149.087577,447
356,1456,Corlette Cr opp Monash PS,-35.414787,149.088975,439
357,1457,Corlette Cr opp Hebblewhite St,-35.414229,149.08727199999998,439
358,1458,Hebblewhite St after Forwood St,-35.411989,149.087664,447
359,1459,Hebblewhite St before Burnell Pl,-35.412096000000005,149.087407,439
360,1460,Harricks Cr after 1st Michell St,-35.410713,149.091178,447
361,1461,Harricks Cr after 1st Michell St,-35.410765000000005,149.09088300000002,439
362,1462,Harricks Cr after 1st Cracknell St,-35.408807,149.092679,447
363,1463,Harricks Cr opp 2nd Cracknell St,-35.408936,149.092449,439
364,1465,MacKillop College MacKinnon St SSO,-35.40532,149.08965,95
365,1466,Wheeler Cr after Sternberg Cr,-35.402337,149.09178300000002,446
366,1467,Wheeler Cr before Hanna St,-35.400526,149.089227,446
367,1468,Wheeler Cr before Sternberg Cr,-35.402094,149.09179699999999,448
368,1469,Wheeler Cr opp Hanna St,-35.400409,149.089292,448
369,1470,Wheeler Cr after Guthridge Cr,-35.398153,149.088372,446
370,1471,Wheeler Cr after Kirkton St,-35.398117,149.088481,448
371,1472,Wanniassa HS Wheeler Cr,-35.394803,149.086693,299
372,1473,Wheeler Cr opp Wanniassa HS,-35.394653000000005,149.086594,308
373,1486,Clift Cr after Ashley Dr,-35.424738,149.104019,582
374,1487,Clift Cr before Ashley Dr,-35.424896999999994,149.104043,615
375,1488,29 Clift Cr,-35.42628,149.107056,582
376,1489,Clift Cr opp 29,-35.426372,149.10704199999998,615
377,1490,Clift Cr before 2nd Kiddle Cr,-35.427562,149.109589,582
378,1491,Clift Cr opp 1st Kiddle Cr,-35.427624,149.10978,615
379,1492,Clift Cr before Heagney Cr,-35.426282,149.11228799999998,582
